""	"LABNR"	"SITE"	"LATITUDE"	"LONGITUDE"	"CALAGE"	"REFERENCE"	"MAINCOLOR"
"13168"	"UBAR-311"	"La Draga"	42.12	2.76	6820	"manen 2003"	"#FFEA00"
"15214"	"ETH-11494"	"Zürich, Wallisellen-Langachermoos"	47.415	8.595	6820	"Haas 1996, 18ff.,Tab.2, Abb6,10"	"#FFEB00"
"2878"	"DRI-2883"	"Nabta"	22.55	30.73	6810	"Schild & Wendorf 2001"	"#FFEB00"
"4062"	"Mc-202"	"Abri No 2 de Saint Mitre"	43.88	5.65	6810	"van Willigen 2006"	"#FFEB00"
"4241"	"Ly-2321"	"Cuiry-les-Chaudardes"	49.386	3.7706	6810	"Breunig 1987, 130"	"#FFEB00"
"4248"	"Ly-2336"	"Cuiry-les-Chaudardes"	49.386	3.7706	6810	"Breunig 1987, 130"	"#FFEB00"
"5992"	"KN-2098"	"Rosenhof"	54.25	11.0333	6810	"Bradtmöller 2007"	"#FFEB00"
"6606"	"Hd-8099"	"Viesenhäuser Hof"	48.85	9.2167	6810	"Jaguttis-Emden 1988, 219"	"#FFEB00"
"7372"	"OxA-6271"	"Esztergalyhorvati"	46.7019	17.1087	6810	"Oxford Datelist 27"	"#FFEB00"
"7376"	"OxA-6275"	"Esztergalyhorvati"	46.7019	17.1087	6810	"Oxford Datelist 27"	"#FFEB00"
"7482"	"Deb-1367"	"Kökénydomb"	46.3513	20.3298	6810	"Benkö 1989"	"#FFEB00"
"7798"	"Bln-1342"	"Vesztö-Magor"	46.9488	21.2034	6810	"Yerkes 2009"	"#FFEB00"
"10264"	"UtC-4626"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	6810	"Peeters 2007"	"#FFEB00"
"11061"	"Bln-4315"	"Ras al-Hamra 6"	23.63	58.48	6810	"Biagi 1994"	"#FFEB00"
"11338"	"TO-11861"	"Cabeço da Amoreira"	39.1	-8.67	6810	"carvalho 2010"	"#FFEB00"
"12338"	" OxA-21134"	"Gomolava"	44.8883	19.7481	6810	"Orton 2012"	"#FFEB00"
"12479"	"OxA-21125"	"Opovo"	45.0519	20.4303	6810	"Orton 2012"	"#FFEB00"
"12484"	"OxA-21130"	"Opovo"	45.0519	20.4303	6810	"Orton 2012"	"#FFEB00"
"12522"	" OxA-23224"	"Petnica"	44.4	19.93	6810	"Orton 2012"	"#FFEB00"
"12544"	"OxA-14699"	"Rudna Glava"	44.42	21.95	6810	"Borić 2009"	"#FFEB00"
"13297"	"CSIC-56"	"Murciélagos"	37.54	-4.31	6810	"van Willigen 2006"	"#FFEB00"
"16786"	"GrN-27152"	"Güvercinkayasi"	38.4	34.18	6810	"--"	"#FFEB00"
"1466"	"BM-719"	"Knossos"	35.298	25.163	6800	"Kiel DB 3473"	"#FFEC00"
"1595"	"Z-3141"	"Vinkovci-Sopot"	45.2628	18.7735	6800	"Obelic 2004"	"#FFEC00"
"5623"	"KN-2495"	"Langweiler 9"	50.8167	6.4333	6800	"Breunig 1987, 127"	"#FFEC00"
"5993"	"KN-2099"	"Rosenhof"	54.25	11.0333	6800	"Bradtmöller 2007"	"#FFEC00"
"6036"	"KN-2191"	"Rosenhof"	54.25	11.0333	6800	"Bradtmöller 2007"	"#FFEC00"
"6262"	"KN-3038"	"Schwanfeld"	49.918	10.1418	6800	"Stäuble 1994"	"#FFEC00"
"6455"	"Hd-8606-8827"	"Talheim"	49.0826	9.186	6800	"Kiel DB 3157"	"#FFEC00"
"6511"	"KIA-20431"	"Timmendorf-Nordmole II"	53.9925	11.3711	6800	"Kiel DB 3880"	"#FFEC00"
"6553"	"Hv-12982"	"Ulm-Eggingen"	48.3634	9.879	6800	"Wechler 1993, 63"	"#FFEC00"
"6559"	"Hv-13599"	"Ulm-Eggingen"	48.3634	9.879	6800	"Dombek 1989, 408, Tab. 179, 410ff"	"#FFEC00"
"6581"	"KIA-12428"	"Usingen"	50.3333	8.5333	6800	"Kiel DB 3237"	"#FFEC00"
"7147"	"DEM-175-145"	"Tharounia"	38.5121	23.9754	6800	"Sampson 1993, 285, Tab. 66"	"#FFEC00"
"7430"	"PoZ-7967"	"Gorzsa"	46.319	20.2874	6800	"Gulyas 2010"	"#FFEC00"
"7431"	"PoZ-7968"	"Gorzsa"	46.319	20.2874	6800	"Gulyas 2010"	"#FFEC00"
"7607"	"Deb-2506"	"Polgár-Csőszhalom"	47.8667	21.1167	6800	"Raczky 2010"	"#FFEC00"
"8089"	"OxA-9956"	"Cheshmeh-Ali"	51.44	35.6	6800	"Fazeli 2004"	"#FFEC00"
"11171"	"KIA-26388"	"Dąbki 9"	54.3753	16.3331	6800	"Kiel DB 3936"	"#FFEC00"
"12343"	" OxA-21139"	"Gomolava"	44.8883	19.7481	6800	"Orton 2012"	"#FFEC00"
"12480"	"OxA-21126"	"Opovo"	45.0519	20.4303	6800	"Orton 2012"	"#FFEC00"
"12483"	"OxA-21129"	"Opovo"	45.0519	20.4303	6800	"Orton 2012"	"#FFEC00"
"208"	"KN-116b"	"Langenzersdorf"	48.3044	16.359	6790	"Stadler 1995"	"#FFEC00"
"569"	"GrN-10290"	"nd"	50.2219	4.9597	6790	"Lijst GrN"	"#FFEC00"
"4382"	"Gif-1796"	"Grotte Dunang"	44.01	5.17	6790	"van Willigen 2006"	"#FFED00"
"6073"	"KN-2253"	"Rosenhof"	54.25	11.0333	6790	"Bradtmöller 2007"	"#FFED00"
"6151"	"KN-4537"	"Rosenhof"	54.25	11.0333	6790	"Bradtmöller 2007"	"#FFED00"
"6165"	"KIA-17653"	"Rosenhof LA 58"	54.2518	11.0495	6790	"Kiel DB 3004"	"#FFED00"
"6534"	"Hd-15439"	"Trebur Cemetery"	49.9311	8.4325	6790	"Kiel DB 3192"	"#FFED00"
"6594"	"Hd-7974"	"Viesenhäuser Hof"	48.85	9.2167	6790	"Jaguttis-Emden 1988, 195"	"#FFED00"
"7709"	"Deb-1356"	"Tape-Lebö-A"	46.2461	20.3129	6790	"Yerkes 2009"	"#FFED00"
"9239"	"RTT-5476"	"Tel Tsaf"	32.4068	35.5483	6790	"Garfinkel 2009"	"#FFED00"
"9284"	"Beta-65308"	"Arene Candide"	44.17	8.33	6790	"--"	"#FFED00"
"9343"	"R-316A"	"Arma di Nasino"	44.1097	8.0497	6790	"Alessio et al. 1968, 354"	"#FFED00"
"11060"	"Bln-3641/II"	"Ras al-Hamra 6"	23.63	58.48	6790	"nd"	"#FFED00"
"11486"	"Bln-598"	"Cascioarele"	44.1259	26.4697	6790	"Boyadjiev 1990"	"#FFED00"
"15222"	"ETH-11503"	"Zürich, Wallisellen-Langachermoos"	47.415	8.595	6790	"Haas 1996, 18ff.,Tab.2, Abb6,10"	"#FFED00"
"17052"	"OxA-6790"	"Kösk Höyük"	37.83	34.6	6790	"Thissen 2002a, 308"	"#FFED00"
"2606"	"Gd-5983"	"Dakhla"	25.4993	28.9908	6780	"McDonald 1990b"	"#FFED00"
"2852"	"U-9B"	"Merimde"	30.3166	30.85	6780	"Olsson 1959"	"#FFED00"
"2908"	"Gd-10114"	"Nabta"	22.55	30.73	6780	"Schild & Wendorf 2001"	"#FFED00"
"3044"	"KN-3589"	"Sitra-Hatiyet"	29.16	26.98	6780	"Cziesla 1993, 194"	"#FFED00"
"4240"	"Ly-1829"	"Cuiry-les-Chaudardes"	49.386	3.7706	6780	"Breunig 1987, 130"	"#FFED00"
"4623"	"Ly-865"	"Reichstett"	48.63	7.75	6780	"Breunig 1987, 130"	"#FFED00"
"4749"	"TB-15"	"Shulaveri"	41.46	44.21	6780	"--"	"#FFED00"
"5962"	"KN"	"Rosenhof"	54.25	11.0333	6780	"Bradtmöller 2007"	"#FFEE00"
"5987"	"KN-1985"	"Rosenhof"	54.25	11.0333	6780	"Bradtmöller 2007"	"#FFEE00"
"6542"	"OxA-5321"	"Trebur Cemetery"	49.9311	8.4325	6780	"Kiel DB 3200"	"#FFEE00"
"7573"	"Bln-513"	"Polgár-Csőszhalom"	47.8667	21.1167	6780	"Quitta 1969"	"#FFEE00"
"7598"	"Deb-1965"	"Polgár-Csőszhalom"	47.8667	21.1167	6780	"Raczky 2010"	"#FFEE00"
"7620"	"Deb-2540"	"Polgár-Csőszhalom"	47.8667	21.1167	6780	"Raczky 2010"	"#FFEE00"
"9288"	"LJ-4136"	"Arene Candide"	44.17	8.33	6780	"--"	"#FFEE00"
"9290"	"LJ-4138"	"Arene Candide"	44.17	8.33	6780	"--"	"#FFEE00"
"11752"	"Hd-22688"	"Uivar"	45.67	20.9	6780	"Luca 2009"	"#FFEE00"
"11755"	"Hd-22736"	"Uivar"	45.67	20.9	6780	"Luca 2009"	"#FFEE00"
"12342"	" OxA-21138"	"Gomolava"	44.8883	19.7481	6780	"Orton 2012"	"#FFEE00"
"12351"	"GrN-13097"	"Gomolava"	44.8883	19.7481	6780	"Waterbolk 1988"	"#FFEE00"
"16999"	"GifA-99087"	"Kaletepe"	38.28	34.56	6780	"Balkan-Atlı et al. 2000a, 205"	"#FFEE00"
"17051"	"OxA-6745"	"Kösk Höyük"	37.83	34.6	6780	"Thissen 2002a, 308"	"#FFEE00"
"17399"	"R-602"	"Yumuktepe"	36.78	34.59	6780	"Caneva 1999, 109"	"#FFEE00"
"567"	"Gif 5258"	"nd"	50.5739	3.6768	6770	"Persoonlijke correspondentie"	"#FFEE00"
"1138"	"Bln-922"	"Goljamo Delcevo"	43	27.4166	6770	"Görsdorf 1996"	"#FFEE00"
"1579"	"Beta-251907"	"Vinkovci-Sopot"	45.2628	18.7735	6770	"Škrivanko 2011"	"#FFEE00"
"4290"	"Ly-622"	"Font des Pigeons"	43.4	5.1	6770	"Manen 2003"	"#FFEE00"
"5631"	"KN-2698"	"Langweiler 9"	50.8167	6.4333	6770	"Kiel DB 2750"	"#FFEE00"
"6084"	"KN-2309"	"Rosenhof"	54.25	11.0333	6770	"Bradtmöller 2007"	"#FFEE00"
"6575"	"Hv-14735"	"Ulm-Eggingen"	48.3634	9.879	6770	"Dombek 1989, 408, Tab. 179, 410ff"	"#FFEE00"
"7146"	"DEM-174-144"	"Tharounia"	38.5121	23.9754	6770	"Sampson 1993, 285, Tab.66"	"#FFEF00"
"7595"	"Deb-1941"	"Polgár-Csőszhalom"	47.8667	21.1167	6770	"Raczky 2010"	"#FFEF00"
"8086"	"OxA-9937"	"Cheshmeh-Ali"	51.44	35.6	6770	"Fazeli 2004"	"#FFEF00"
"8394"	"Gif-10343"	"Tepe Zagheh"	35.8158	49.9469	6770	"Pollard 2011"	"#FFEF00"
"8399"	"WK-12856"	"Tepe Zagheh"	35.8158	49.9469	6770	"Pollard 2011"	"#FFEF00"
"8798"	"RT-1212"	"Eilat"	29.55	34.95	6770	"Lovell 2001"	"#FFEF00"
"9416"	"Birm-265"	"Fimon-Molino Casarotto, site 4"	45.4666	11.5	6770	"Birm Datelist VI"	"#FFEF00"
"11058"	"Bln-3640/II"	"Ras al-Hamra 6"	23.63	58.48	6770	"nd"	"#FFEF00"
"12345"	" OxA-22339"	"Gomolava"	44.8883	19.7481	6770	"Orton 2012"	"#FFEF00"
"12541"	"OxA-14662"	"Rudna Glava"	44.42	21.95	6770	"Borić 2009"	"#FFEF00"
"12953"	"Beta-75215"	"Cova de le Cendres"	42.07	2.54	6770	"manen 2003"	"#FFEF00"
"13300"	"CSIC-59"	"Murciélagos"	37.54	-4.31	6770	"van Willigen 2006"	"#FFEF00"
"13362"	"GifA-101356"	"Tossal de la Roca"	38.78	-0.26	6770	"García 2009"	"#FFEF00"
"14390"	"Lu-1886"	"Skateholm I"	55.383	13.483	6770	""	"#FFEF00"
"17382"	"GrN-15534"	"Yarimburgaz"	41.08	28.73	6770	"Özdogan 1991a"	"#FFEF00"
"601"	"KIK-1029 / UtC-8243"	"nd"	51.0277	4.0997	6760	"Van Strydonck e.a., 2001"	"#FFEF00"
"1294"	"Bln-1664"	"Okrazna Bolnica"	42.43	25.63	6760	"Görsdorf 1996"	"#FFEF00"
"2593"	"Gd-5645"	"Dakhla"	25.4993	28.9908	6760	"Pazdur ea. 1994"	"#FFEF00"
"7374"	"OxA-6273"	"Esztergalyhorvati"	46.7019	17.1087	6760	"Oxford Datelist 27"	"#FFEF00"
"7623"	"Deb-2554"	"Polgár-Csőszhalom"	47.8667	21.1167	6760	"Raczky 2010"	"#FFEF00"
"7633"	"Deb-3266"	"Polgár-Csőszhalom"	47.8667	21.1167	6760	"Raczky 2010"	"#FFEF00"
"7640"	"Deb-3308"	"Polgár-Csőszhalom"	47.8667	21.1167	6760	"Raczky 2010"	"#FFEF00"
"7657"	"VERA-4197"	"Polgár-Csőszhalom"	47.8667	21.1167	6760	"Raczky 2010"	"#FFEF00"
"12337"	" OxA-21133"	"Gomolava"	44.8883	19.7481	6760	"Orton 2012"	"#FFEF00"
"12349"	"GrN-13094"	"Gomolava"	44.8883	19.7481	6760	"Borić 2009"	"#FFEF00"
"12523"	" OxA-23225"	"Petnica"	44.4	19.93	6760	"Orton 2012"	"#FFEF00"
"14270"	"Lu-2557"	"Nymölla III"	56.05	14.4667	6760	"Kiel DB 2013"	"#FFEF00"
"341"	"VERA-2848"	"Schletz"	48.5811	16.4693	6750	"Stadler 2005/2006"	"#FFF000"
"4396"	"KN-1265"	"Grotte Gazel"	43.32	2.44	6750	"van Willigen 2006"	"#FFF000"
"5144"	"UtC-2326"	"Eitzum 2"	52.1385	10.8184	6750	"Stäuble 1994"	"#FFF000"
"6064"	"KN-2244"	"Rosenhof"	54.25	11.0333	6750	"Bradtmöller 2007"	"#FFF000"
"6221"	"Ki-3020"	"Schlamersdorf"	53.8354	10.3408	6750	"Kiel DB 3059"	"#FFF000"
"6458"	"VERA-2021"	"Talheim"	49.085	9.195	6750	"Wild et al., RC Vol 46, 1, 377-385 (2004)"	"#FFF000"
"7119"	"Bln-777"	"Sitagroi"	41.11	24.0212	6750	"Renfrew 1971, 277"	"#FFF000"
"7534"	"Bln-3963"	"Öcsöd-Kováshalom"	46.8559	20.5372	6750	"Raczky 2009"	"#FFF000"
"7655"	"VERA-3068"	"Polgár-Csőszhalom"	47.8667	21.1167	6750	"Raczky 2010"	"#FFF000"
"10924"	"UtC--2326"	"Eitzum 2"	52.1555	10.8176	6750	"Kiel DB 3640"	"#FFF000"
"11075"	"Bln-3649/II"	"Ras Shaqallah 1"	21.71	59.48	6750	"Biagi 1994"	"#FFF000"
"11255"	"Bln-1268"	"Niemcza"	50.175	16.8394	6750	"Breunig 1987, 155"	"#FFF000"
"12344"	" OxA-21140"	"Gomolava"	44.8883	19.7481	6750	"Orton 2012"	"#FFF000"
"12360"	"GrN-13166"	"Gomolava"	44.8883	19.7481	6750	"Waterbolk 1988"	"#FFF000"
"12482"	"OxA-21128"	"Opovo"	45.0519	20.4303	6750	"Orton 2012"	"#FFF000"
"13167"	"UBAR-245"	"La Draga"	42.12	2.76	6750	"manen 2003"	"#FFF000"
"13524"	"Ua-1525"	"Alby"	56.483	16.5667	6750	""	"#FFF000"
"17592"	"Ki-3030"	"Pugach 2"	47.85	31.23	6750	"Telegin 2003"	"#FFF000"
"2076"	"K-1844?"	"Henriksholm"	55.85	12.55	6740	"Copenhagen X, 93"	"#FFF000"
"2876"	"DRI-2881"	"Nabta"	22.55	30.73	6740	"Schild & Wendorf 2001"	"#FFF000"
"4117"	"Ly-6491"	"Baume de Fontbrégoua"	43.62	6.22	6740	"Manen 2003"	"#FFF000"
"4242"	"Ly-2330"	"Cuiry-les-Chaudardes"	49.386	3.7706	6740	"Breunig 1987, 130"	"#FFF000"
"4620"	"Ly-1567"	"Reichstett"	48.63	7.75	6740	"Breunig 1987, 130"	"#FFF000"
"5402"	"GrN-4830"	"Hienheim"	48.8667	11.7667	6740	"Breunig 1987"	"#FFF000"
"5574"	"Hd-11090"	"Künzing-Unternberg"	48.6764	13.045	6740	"Kiel DB 2624"	"#FFF000"
"5961"	"KN"	"Rosenhof"	54.25	11.0333	6740	"Bradtmöller 2007"	"#FFF000"
"5985"	"KN-1983"	"Rosenhof"	54.25	11.0333	6740	"Bradtmöller 2007"	"#FFF000"
"6086"	"KN-2311"	"Rosenhof"	54.25	11.0333	6740	"Bradtmöller 2007"	"#FFF000"
"6104"	"KN-2348"	"Rosenhof"	54.25	11.0333	6740	"Bradtmöller 2007"	"#FFF100"
"6544"	"OxA-5593"	"Trebur Cemetery"	49.9311	8.4325	6740	"Kiel DB 3202"	"#FFF100"
"6590"	"Hd-7935"	"Viesenhäuser Hof"	48.85	9.2167	6740	"Jaguttis-Emden 1988, 187"	"#FFF100"
"7041"	"P-1368"	"Myrtos"	37.05	25.0833	6740	"Renfrew 1971, 282"	"#FFF100"
"7414"	"Deb-1191"	"Gorzsa"	46.319	20.2874	6740	"Yerkes 2009"	"#FFF100"
"7425"	"Fra-114"	"Gorzsa"	46.319	20.2874	6740	"Yerkes 2009"	"#FFF100"
"7597"	"Deb-1957"	"Polgár-Csőszhalom"	47.8667	21.1167	6740	"Raczky 2010"	"#FFF100"
"7646"	"Deb-3351"	"Polgár-Csőszhalom"	47.8667	21.1167	6740	"Raczky 2010"	"#FFF100"
"7651"	"VERA-3062"	"Polgár-Csőszhalom"	47.8667	21.1167	6740	"Raczky 2010"	"#FFF100"
"8407"	"OZI- 129"	"Tol-e Nurabad"	51.5	30.1166	6740	"Marshall 2012"	"#FFF100"
"9265"	"Beta-60686"	"Arene Candide"	44.17	8.33	6740	"--"	"#FFF100"
"10251"	"UtC-12481"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	6740	"Peeters 2007"	"#FFF100"
"10935"	"K-5640"	"MÃ¸llegabet II"	54.9011	10.42	6740	"Kiel DB 3734"	"#FFF100"
"11470"	"Bln-2289"	"Carcea Viaduct"	44.267	23.9	6740	"Mantu 2000"	"#FFF100"
"12370"	"OxA-14710"	"Gomolava"	44.8883	19.7481	6740	"Tasić  1989"	"#FFF100"
"12376"	"Bln-872"	"Grivac"	43.9845	20.5868	6740	"Tasić  1989"	"#FFF100"
"12481"	"OxA-21127"	"Opovo"	45.0519	20.4303	6740	"Orton 2012"	"#FFF100"
"14563"	"Ua-25116"	"Tagerup"	55.8565	12.9383	6740	"Karsten and Knarrström 2001"	"#FFF100"
"1459"	"BM-577"	"Knossos"	35.298	25.163	6730	"Kiel DB 3466"	"#FFF100"
"1601"	"Z-3869"	"Vinkovci-Sopot"	45.2628	18.7735	6730	"Škrivanko 2011"	"#FFF100"
"4187"	"Gif-148"	"Camprafaud"	43.47	2.83	6730	"Linstädter 2004"	"#FFF100"
"4190"	"Gif-1488"	"Camprafaud"	43.47	2.83	6730	"van Willigen 2006"	"#FFF100"
"4191"	"Gif-1489"	"Camprafaud"	43.47	2.83	6730	"van Willigen 2006"	"#FFF100"
"4278"	"Ly-2826"	"Font des Pigeons"	43.4	5.1	6730	"van Willigen 2006"	"#FFF100"
"4380"	"Gif-1794"	"Grotte Dunang"	44.01	5.17	6730	"van Willigen 2006"	"#FFF100"
"5106"	"Bln-1431"	"Eilsleben"	52.1471	11.2103	6730	"Breunig 1987, 126"	"#FFF100"
"5408"	"GrN-7157"	"Hienheim"	48.8667	11.7667	6730	"Breunig 1987"	"#FFF100"
"5572"	"Hd-11055"	"Künzing-Unternberg"	48.6764	13.045	6730	"Kiel DB 2622"	"#FFF200"
"6127"	"KN-2819"	"Rosenhof"	54.25	11.0333	6730	"Bradtmöller 2007"	"#FFF200"
"7136"	"BM-649"	"Sitagroi"	41.11	24.0212	6730	"Renfrew 1971, 277"	"#FFF200"
"7371"	"OxA-6208"	"Esztergalyhorvati"	46.7019	17.1087	6730	"Oxford Datelist 27"	"#FFF200"
"7417"	"Deb-1240"	"Gorzsa"	46.319	20.2874	6730	"Yerkes 2009"	"#FFF200"
"7421"	"Deb-1387"	"Gorzsa"	46.319	20.2874	6730	"Yerkes 2009"	"#FFF200"
"7486"	"Deb-1513"	"Kökénydomb"	46.3513	20.3298	6730	"Benkö 1989"	"#FFF200"
"7605"	"Deb-2504"	"Polgár-Csőszhalom"	47.8667	21.1167	6730	"Raczky 2010"	"#FFF200"
"7636"	"Deb-3277"	"Polgár-Csőszhalom"	47.8667	21.1167	6730	"Raczky 2010"	"#FFF200"
"7658"	"VERA-4768"	"Polgár-Csőszhalom"	47.8667	21.1167	6730	"Raczky 2010"	"#FFF200"
"7705"	"Deb-1211"	"Tape-Lebö-A"	46.2461	20.3129	6730	"Yerkes 2009"	"#FFF200"
"8396"	"Gif-10345"	"Tepe Zagheh"	35.8158	49.9469	6730	"Pollard 2011"	"#FFF200"
"9518"	"Q-3025"	"Grotte Filiestru"	40.41	8.63	6730	"van Willigen 2006"	"#FFF200"
"10246"	"UtC-12476"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	6730	"Peeters 2007"	"#FFF200"
"11025"	"Bln-3397"	"Ras al-Hamra 5"	23.64	58.49	6730	"Biagi 1994"	"#FFF200"
"12486"	"OxA-21212"	"Opovo"	45.0519	20.4303	6730	"Orton 2012"	"#FFF200"
"13315"	"I-17775"	"Murciélagos"	37.54	-4.31	6730	"van Willigen 2006"	"#FFF200"
"1233"	"Hv-14185"	"Karanovo"	42.55	25.87	6720	"Görsdorf 1996"	"#FFF200"
"4238"	"Ly-1827"	"Cuiry-les-Chaudardes"	49.386	3.7706	6720	"Breunig 1987, 130"	"#FFF200"
"5594"	"KN-1521"	"Lamersdorf"	50.8493	6.3525	6720	"Breunig 1987, 174"	"#FFF200"
"6540"	"Hd-15671"	"Trebur Cemetery"	49.9311	8.4325	6720	"Kiel DB 3198"	"#FFF200"
"6566"	"Hv-14726"	"Ulm-Eggingen"	48.3634	9.879	6720	"Dombek 1989, 408, Tab. 179, 410ff"	"#FFF200"
"6723"	"Bln-66"	"Zwenkau-Harth"	51.2167	12.3167	6720	"Berlin Date List I"	"#FFF200"
"7600"	"Deb-2421"	"Polgár-Csőszhalom"	47.8667	21.1167	6720	"Raczky 2010"	"#FFF200"
"7650"	"VERA-3061"	"Polgár-Csőszhalom"	47.8667	21.1167	6720	"Raczky 2010"	"#FFF200"
"10229"	"UtC-12459"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	6720	"Peeters 2007"	"#FFF200"
"11173"	"PoZ-10436"	"Dąbki 9"	54.3753	16.3331	6720	"Kiel DB 3938"	"#FFF300"
"11479"	"Bln-336"	"Cascioarele"	44.1259	26.4697	6720	"Mantu 2000"	"#FFF300"
"11757"	"Hd-22751"	"Uivar"	45.67	20.9	6720	"Luca 2009"	"#FFF300"
"12355"	"GrN-13161"	"Gomolava"	44.8883	19.7481	6720	"Waterbolk 1988"	"#FFF300"
"13520"	"Ua-1521"	"Alby"	56.483	16.5667	6720	""	"#FFF300"
"13527"	"Ua-1528"	"Alby"	56.483	16.5667	6720	""	"#FFF300"
"17652"	"KIA-4160"	"Tatarauca Noua XV"	48.5522	29.343	6720	"Wechler 2001"	"#FFF300"
"704"	"Lv-1291"	"nd"	50.3365	4.2903	6710	"Gilot, 1997; Cahen, 1983; Cahen, 1984; Cahen e.a., 1990"	"#FFF300"
"894"	"Bln-149"	"Azmak"	42.4575	25.4282	6710	"Görsdorf 1996"	"#FFF300"
"1465"	"BM-718"	"Knossos"	35.298	25.163	6710	"Kiel DB 3472"	"#FFF300"
"2840"	"KN-3277"	"Merimde"	30.3166	30.85	6710	"Hassan 1985"	"#FFF300"
"4249"	"Ly-2551"	"Cuiry-les-Chaudardes"	49.386	3.7706	6710	"Breunig 1987, 130"	"#FFF300"
"4983"	"KN-1759"	"Deiringsen-Ruploh"	51.545	8.0937	6710	"Kiel DB 2271"	"#FFF300"
"4985"	"KN-759"	"Deiringsen-Ruploh"	51.545	8.0937	6710	"Kiel DB 2273"	"#FFF300"
"5581"	"Hd-11200"	"Künzing-Unternberg"	48.6764	13.045	6710	"Kiel DB 2631"	"#FFF300"
"6255"	"KN-2966"	"Schwanfeld"	49.918	10.1418	6710	"Stäuble 1994"	"#FFF300"
"6724"	"Bln-817"	"Zwenkau-Harth"	51.2167	12.3167	6710	"Kiel DB 3366"	"#FFF300"
"7078"	"DEM-1185"	"Promachon"	41.9833	23.0833	6710	"Koukouli-Chryssanthaki 2007"	"#FFF300"
"7438"	"Z-2011"	"Gorzsa"	46.319	20.2874	6710	"Benkö 1989"	"#FFF300"
"7478"	"Deb-1255"	"Kökénydomb"	46.3513	20.3298	6710	"Benkö 1989"	"#FFF300"
"8085"	"OxA-9905"	"Cheshmeh-Ali"	51.44	35.6	6710	"Fazeli 2004"	"#FFF300"
"8262"	"GX-865"	"Tal-i Iblis"	32.2	48.2166	6710	"Caldwell 1967, 26"	"#FFF300"
"8349"	"I-1503"	"Tepe Sabz"	32.59	47.26	6710	"Hole et al. 1969, 335-340"	"#FFF300"
"10227"	"UtC-12457"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	6710	"Peeters 2007"	"#FFF300"
"11050"	"Bln-3636/II"	"Ras al-Hamra 6"	23.63	58.48	6710	"nd"	"#FFF400"
"11153"	"Gd-1278"	"Dabki"	54.383	16.317	6710	""	"#FFF400"
"11184"	"PoZ-18654"	"Dąbki 9"	54.3753	16.3331	6710	"Kiel DB 3949"	"#FFF400"
"11786"	"Ki-955"	"Rakushechny Yar"	47.4459	39.0667	6710	"Wechler 2001"	"#FFF400"
"11935"	"GU-7207"	"Chapelfield"	56.0848	-3.8703	6710	"Ashmore, 2004"	"#FFF400"
"12487"	"OxA-21454"	"Opovo"	45.0519	20.4303	6710	"Orton 2012"	"#FFF400"
"13331"	"OxA-2592"	"Plansallosa"	42.25	2.6	6710	"van Willigen 2006"	"#FFF400"
"16788"	"GrN-27154"	"Güvercinkayasi"	38.4	34.18	6710	"--"	"#FFF400"
"142"	"KN-2567"	"Frauenhofen"	48.68	15.6	6700	"Breunig 1987, 150, 163"	"#FFF400"
"1574"	"Beta-230029"	"Vinkovci-Sopot"	45.2628	18.7735	6700	"Škrivanko 2011"	"#FFF400"
"2903"	"Gd-10109"	"Nabta"	22.55	30.73	6700	"Schild & Wendorf 2001"	"#FFF400"
"4111"	"Ly-3748"	"Baume de Fontbrégoua"	43.62	6.22	6700	"van Willigen 2006"	"#FFF400"
"4539"	"Ly-2323"	"Menneville, Derrière le Village"	49.41	4.01	6700	"Breunig 1987, 139"	"#FFF400"
"5597"	"KN-1525"	"Lamersdorf"	50.8493	6.3525	6700	"Breunig 1987, 174"	"#FFF400"
"6011"	"KN-2139"	"Rosenhof"	54.25	11.0333	6700	"Bradtmöller 2007"	"#FFF400"
"6438"	"KN-139"	"Südensee"	54.7	9.667	6700	""	"#FFF400"
"6448"	"KN-1139"	"Südensee-Damm"	54.7032	9.6697	6700	"Kiel DB 3025"	"#FFF400"
"6502"	"KIA-20121"	"Timmendorf-Nordmole II"	53.9923	11.3725	6700	"Kiel DB 3854"	"#FFF400"
"7410"	"Deb-1173"	"Gorzsa"	46.319	20.2874	6700	"Yerkes 2009"	"#FFF400"
"8090"	"OxA-9957"	"Cheshmeh-Ali"	51.44	35.6	6700	"Fazeli 2004"	"#FFF400"
"8395"	"Gif-10344"	"Tepe Zagheh"	35.8158	49.9469	6700	"Pollard 2011"	"#FFF400"
"9310"	"UB-2417"	"Arene Candide"	44.17	8.33	6700	"Bagolini and Biagi 1990, 13"	"#FFF400"
"9363"	"LTL-1778A"	"Cala Giovanna"	42.619	10.083	6700	"Gabriele 2009"	"#FFF400"
"10237"	"UtC-12467"	"Almere-\"Hoge Vaart\""	52.4445	5.4979	6700	"Peeters 2007"	"#FFF400"
"11169"	"KIA-26386"	"Dąbki 9"	54.3753	16.3331	6700	"Kiel DB 3934"	"#FFF400"
"17062"	"Hd-19141"	"Kumtepe"	39.9797	26.188	6700	"Gabriel 2000"	"#FFF500"
