ID	LABNR	C14AGE	C14STD	C13	MATERIAL	SPECIES	COUNTRY	SITE	PERIOD	CULTURE	Phase	LOCUS	LATITUDE	LONGITUDE	METHOD	CALAGE	CALSTD	REFERENCE	NOTICE
903	UtC-3451	9120	120	-25	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian C	nd	nd	51,2667	4,2117	14C	10310	150	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
904	UtC-3915	9110	65	-23	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian A	nd	nd	51,2667	4,2117	14C	10300	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
905	UtC-7045	9230	50	-24,3	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10390	90	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
906	UtC-7046	9100	60	-25,6	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10290	70	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
907	UtC-7047	6260	50	-25,5	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	7170	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
908	UtC-7117	8850	40	-23,4	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian B	nd	nd	51,2667	4,2117	14C	9960	140	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
909	UtC-7118	8930	60	-25,4	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10050	110	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
910	UtC-7119	9280	50	-23,3	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10450	90	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
911	UtC-7120	9270	50	-25,2	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10440	90	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
912	UtC-7252	8750	40	-23,9	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9740	100	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
913	UtC-7851	9130	75	-26,2	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian C	nd	nd	51,2667	4,2117	14C	10330	90	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
914	UtC-7941	6290	40	-25,5	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	7220	40	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
915	UtC-8388	8755	40	-26	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9750	100	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
916	UtC-8389	9310	40	-23,1	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10510	60	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
917	UtC-8390	9200	40	-23,5	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10360	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
918	UtC-8391	8850	50	-23,7	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian C	nd	nd	51,2667	4,2117	14C	9960	140	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
919	UtC-8392	8975	40	-22,8	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10100	110	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
920	UtC-8393	9210	40	-25,2	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10370	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
921	UtC-8394	8835	40	-27,1	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9940	150	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
922	UtC-8395	9015	40	-26,4	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian C	nd	nd	51,2667	4,2117	14C	10200	30	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
923	UtC-8396	8795	40	-23,8	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9820	90	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
924	UtC-8397	9065	40	-21,6	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian A	nd	nd	51,2667	4,2117	14C	10220	30	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
925	UtC-8398	9265	40	-23,2	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian A	nd	nd	51,2667	4,2117	14C	10430	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
926	UtC-8961	9165	45	-24,2	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian C	nd	nd	51,2667	4,2117	14C	10330	70	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
927	UtC-9222	8400	60	-27,4	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9410	70	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
928	UtC-9223	9080	60	-23,9	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10260	60	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
929	UtC-9224	9160	60	-27,1	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	Beuronian A	nd	nd	51,2667	4,2117	14C	10340	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
930	UtC-9225	9270	60	-23	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10440	100	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
931	UtC-9226	8810	60	-26	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9900	170	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
932	UtC-9227	8900	60	-23,4	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10020	120	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
933	UtC-9228	9020	60	-26	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10130	110	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
934	UtC-9418	9060	70	-24,5	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10230	70	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
935	UtC-9419	9070	70	-24,6	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10260	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
936	UtC-9433	8800	80	-25,8	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9880	180	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
937	UtC-9438	9290	80	-26	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10460	120	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
938	UtC-9442	8450	60	-25,6	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9460	50	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
939	UtC-9443	8500	60	-25,6	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9500	40	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
940	UtC-9444	8390	60	-24,8	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9400	70	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
941	UtC-9445	8330	60	-22,6	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9340	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
942	UtC-9446	8230	70	-25,5	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9210	110	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
943	UtC-9447	8530	60	-26,7	charcoal	Quercus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9510	30	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
944	UtC-9448	8250	70	-24,5	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9240	120	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
945	UtC-9449	8320	60	-25,3	charcoal	Quercus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9320	90	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
946	UtC-9450	8330	70	-25,1	charcoal	corylus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9330	100	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
947	UtC-9451	8190	70	-24,5	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9160	100	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
948	UtC-9452	8200	70	-25,3	charcoal	pinus	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9170	110	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
949	UtC-9453	9100	70	-27,8	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10300	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
950	UtC-9454	8790	60	-24,4	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9850	150	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
951	UtC-9455	7720	60	-24,2	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	8500	60	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
952	UtC-9456	9050	70	-26,1	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	10190	80	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
953	UtC-9457	8650	60	-28,4	charcoal	hazelnut	Belgium	Verrebroeck	Epipalaeolithic	nd	nd	nd	51,2667	4,2117	14C	9630	70	Radiocarbon Vol.43, Nr.2B, 2001, 997-1005	
954	KIK-1042 / UtC-8390	9200	40	0	charcoal	hazelnut	Belgium	Verrebroek-Dok C21	Epipalaeolithic	nd	nd	verkoolde hazelnootschelpen uit de contactzone tussen de A2 en de Bh-horizon van heidepodzol	51,2553	4,1883	14C	10360	80	Van Strydonck e.a., 2001	
955	KIK-362 / UtC-3685	9307	54	0	charcoal	nd	Belgium	Vliegveld	nd	nd	nd	nd	50,7642	5,0797	14C	10490	80	Van Strydonck e.a., 1995	
956	Lv-1117	6160	95	0	charcoal	nd	Belgium	Vlijtingen	Neolithic	Linienbandkeramik	nd	kuil n°32	50,7642	5,0797	14C	7050	120	Gilot, 1997; Marichal e.a., 1987	
957	Lv-1116	6310	75	0	charcoal	nd	Belgium	Wange	Neolithic	Linienbandkeramik	nd	kuil	51,145	5,745	14C	7230	90	Gilot, 1997; Lodewijckx, 1984	
958	KIK-352 / UtC-3678	6150	90	0	charcoal	hazelnut	Belgium	Wange / Overhespen	Neolithic	nd	nd	verkoolde hazelnootschelp uit kuil	51,2553	4,1883	14C	7040	120	Van Strydonck e.a., 1998	
959	KIK-366 / UtC-3718	6250	50	0	charcoal	nd	Belgium	Wange / Overhespen	Neolithic	nd	nd	houtskool uit kuil	51,2083	3,4483	14C	7150	80	Van Strydonck e.a., 1998	
960	KIK-392 / UtC-3734	6130	45	0	charcoal	nd	Belgium	Wange / Overhespen	Neolithic	nd	nd	houtskool uit kuil	50,9846	5,3683	14C	7040	80	Van Strydonck e.a., 1998	
961	UtC-3195	7060	70	0	charcoal	pinus	Belgium	Zonhoven Molenheide	Palaeolithic	Ahrensburgian	nd	nd	50,9833	5,35	14C	7880	70	Vermeersch P.M. et al. 1996. Notae Praehistoricae 16: 117-121.	
962	Bln-131	5683	100	-27,1	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor. IV-2	Qu. B99, depth 6,21 m	42,4575	25,4282	14C	6490	120	Görsdorf 1996	--
963	Bln-134	5546	200	-23,4	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor.IV-3	Qu. B98, depth 6,21 m	42,4575	25,4282	14C	6330	230	Görsdorf 1996	--
964	Bln-135 	5689	100	-25,7	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor.IV-3	Qu. B113, depth 6,00 m	42,4575	25,4282	14C	6490	120	Görsdorf 1996	--
965	Bln-136	5840	100	0	grain	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor.III-24	Qu. A84, depth 4,20 m	42,4575	25,4282	14C	6650	120	Görsdorf 1996	--
966	Bln-137	5697	100	0	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor. III-4	Qu. W115, depth 5,30 m	42,4575	25,4282	14C	6500	110	Görsdorf 1996	--
967	Bln-138	5618	200	-25,2	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor. IV-3	Qu. A115, depth 6,81 m	42,4575	25,4282	14C	6430	220	Görsdorf 1996	--
968	Bln-139	5698	100	-25,3	seed	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor. IV-2	Qu. G83, depth 6,04 m	42,4575	25,4282	14C	6500	110	Görsdorf 1996	--
969	Bln-140A	6476	100	-26,5	seed	nd	Bulgaria	Azmak	Neolithic	Karan II/III	Hor.II	depth 4,70 m	42,4575	25,4282	14C	7380	90	Görsdorf 1996	--
970	Bln-141	5642	100	-23,6	seed	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor.IV-3	Qu. B84, depth 5,90 m	42,4575	25,4282	14C	6450	110	Görsdorf 1996	--
971	Bln-142	5793	150	-25,6	seed	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor.III.4	Qu. A84, depth 4,70 m	42,4575	25,4282	14C	6610	170	Görsdorf 1996	--
972	Bln-143	5729	150	-25,5	seed	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor.III-24	Qu. W70, depth 3,80 m	42,4575	25,4282	14C	6540	160	Görsdorf 1996	--
973	Bln-144	5592	120	-25,3	seed	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor.IV-2	Qu. G83, depth 6,04 m	42,4575	25,4282	14C	6400	120	Görsdorf 1996	--
974	Bln-145	5387	100	-25,2	seed	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor.IV-1	Qu. B116, depth 5,70 m	42,4575	25,4282	14C	6150	120	Görsdorf 1996	--
975	Bln-145	5390	100	0	seed	nd	Bulgaria	Azmak	Chalcolithic	Late Eneolithic	hor. IV-1	Qu. B116, depth 5,70 m	42,4575	25,4282	14C	6150	120	Görsdorf 1996	--
976	Bln-146	5006	150	-26,8	seed	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor.IV-1	Qu. W84, depth 5,60 m	42,4575	25,4282	14C	5760	150	Görsdorf 1996	--
977	Bln-146	5035	150	0	seed	nd	Bulgaria	Azmak	Chalcolithic	Late Eneolithic	hor.IV-1	qu. W84, depth 5,60 m	42,4575	25,4282	14C	5790	150	Görsdorf 1996	--
978	Bln-147	5214	150	-25,3	seed	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor.III-4	Qu. W97, depth 4,35 m	42,4575	25,4282	14C	5980	190	Görsdorf 1996	--
979	Bln-148	5760	150	0	seed	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor.III-3	Qu. G69, depth 3,60 m	42,4575	25,4282	14C	6580	160	Görsdorf 1996	--
980	Bln-149	5390	100	0	seed	nd	Bulgaria	Azmak	Chalcolithic	Late Eneolithic	hor. IV-1	Qu. W84, depth 4,00 m	42,4575	25,4282	14C	6150	120	Görsdorf 1996	--
981	Bln-149	5888	100	0	seed	nd	Bulgaria	Azmak	Neolithic	Karan VI 	Hor. IV-1	Qu. W84, depth 4,00 m	42,4575	25,4282	14C	6710	130	Görsdorf 1996	--
982	Bln-150	5632	150	-24,9	seed	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor.III-2 	Qu. G83, depth 4,20 m	42,4575	25,4282	14C	6450	160	Görsdorf 1996	--
983	Bln-151	5807	100	-26,4	seed	nd	Bulgaria	Azmak	Neolithic	Karan V 	Hor.III-3	Qu. G69, depth 3,60 m	42,4575	25,4282	14C	6610	120	Görsdorf 1996	--
984	Bln-203	6870	100	-25,6	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-3	east part of central profile, depth 1,88 m	42,4575	25,4282	14C	7730	100	Görsdorf 1996	--
985	Bln-224	6650	150	-25,1	grain	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-3	east part of central profile, depth 2,18 m	42,4575	25,4282	14C	7530	120	Görsdorf 1996	--
986	Bln-267	6758	100	0	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-3,	east part of central profile, depth 1,88 m	42,4575	25,4282	14C	7620	90	Görsdorf 1996	--
987	Bln-291	7158	150	0	charcoal	quercus	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-1	Qu. B99, depth 1,13 m	42,4575	25,4282	14C	7990	160	Görsdorf 1996	--
988	Bln-292	6878	100	0	seed	triticum dicoccum, T.monococcum	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-1	Qu. A84, depth 0,96 m	42,4575	25,4282	14C	7730	100	Görsdorf 1996	--
989	Bln-293	7303	150	0	charcoal	quercus	Bulgaria	Azmak	Neolithic	Karan I 	Hor. I-1	Qu. W85, depth 0,66 m	42,4575	25,4282	14C	8140	150	Görsdorf 1996	--
990	Bln-294	6768	100	0	charcoal	quercus	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-1	Qu. W85, depth 0,66 m	42,4575	25,4282	14C	7630	90	Görsdorf 1996	--
991	Bln-295	6720	100	0	seed	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-2	Qu. W83, depth 1,11 m	42,4575	25,4282	14C	7580	80	Görsdorf 1996	--
992	Bln-296	6779	100	0	grain	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-2	Qu. B99, depth 1,40 m	42,4575	25,4282	14C	7640	90	Görsdorf 1996	--
993	Bln-297	6675	100	0	seed	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-3	Qu. A100, depth 2,16 m	42,4575	25,4282	14C	7550	80	Görsdorf 1996	--
994	Bln-298	6540	100	0	grain	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-3	Qu. A100, depth 2,16 m	42,4575	25,4282	14C	7440	90	Görsdorf 1996	--
995	Bln-299	6812	100	0	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-3	Qu. B99, depth 1,69 m	42,4575	25,4282	14C	7680	90	Görsdorf 1996	--
996	Bln-300	6426	150	0	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-3	Qu. B132, depth 2,14 m	42,4575	25,4282	14C	7320	140	Görsdorf 1996	--
997	Bln-301	6483	100	0	charcoal	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-4	Qu. G70, depth 2,41 m	42,4575	25,4282	14C	7390	90	Görsdorf 1996	--
998	Bln-430	6279	120	0	seed	nd	Bulgaria	Azmak	Neolithic	Karan I 	Hor.I-5	Qu. A85, depth 2,24 m	42,4575	25,4282	14C	7170	150	Görsdorf 1996	--
999	Bln-1577	3192	40	0	charcoal	nd	Bulgaria	Balej	Bronze Age	Late Bronze Age	Hor.4	Qu. B10, depth 1,40 m	44,2	22,6833	14C	3410	40	Görsdorf 1996	--
1000	Bln-2613	5960	70	0	charcoal	nd	Bulgaria	Balgarcevo	Neolithic	nd	Schicht 2	Qu. VII/D, depth 0,50 m, house post	42,0333	23,05	14C	6800	90	Görsdorf 1996	--
1001	Bln-2614	6100	50	0	charcoal	nd	Bulgaria	Balgarcevo	Neolithic	nd	Schicht 4	Qu.VII/E, depth 1,20 m, house post	42,0333	23,05	14C	7000	90	Görsdorf 1996	--
1002	Bln-202	4242	100	-24	grain	nd	Bulgaria	Banjata	Chalcolithic	Late Eneolithic	KSB	Schicht 5	42,0833	24,3666	14C	4780	150	Görsdorf 1996	EBA ?
1003	Bln-405	4075	100	0	grain	nd	Bulgaria	Banjata	Chalcolithic	Late Eneolithic	KSB	Schicht 5	42,0833	24,3666	14C	4610	150	Görsdorf 1996	EBA ?
1004	Bln-337	5590	100	0	grain	nd	Bulgaria	Bikovo	Chalcolithic	Karan VI	Hor.3	depth 6,00 m	42,4333	26,333	14C	6400	100	Görsdorf 1996	--
1005	Bln-1030	6760	100	0	organic	peas	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.3	Qu.F15, depth 0,60 m	42,63	24,083	14C	7620	90	Görsdorf 1996	--
1006	Bln-1160	6680	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.4	Qu. H15, depth 1,05 m	42,63	24,083	14C	7550	80	Görsdorf 1996	--
1007	Bln-1160A	7040	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.4	Qu. H15, depth 1,05 m	42,63	24,083	14C	7850	100	Görsdorf 1996	--
1008	Bln-1162	6400	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.4	Qu. G16, depth 1,30 m, inside house	42,63	24,083	14C	7320	90	Görsdorf 1996	--
1009	Bln-1162A	6985	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.4	Qu. G16, depth 1,30 m, inside house	42,63	24,083	14C	7820	100	Görsdorf 1996	--
1010	Bln-1241	6852	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.4	Qu. J14, depth 1,05 m	42,63	24,083	14C	7710	100	Görsdorf 1996	--
1011	Bln-1241A	6930	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.4	Qu. J14, depth 1,05 m	42,63	24,083	14C	7780	100	Görsdorf 1996	--
1012	Bln-1251	6997	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.4	Qu. G16, depth 1,30 m, inside house	42,63	24,083	14C	7820	100	Görsdorf 1996	--
1013	Bln-1578	6994	55	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. G16, depth 1,70 m, inside house	42,63	24,083	14C	7830	70	Görsdorf 1996	--
1014	Bln-1579	7003	45	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. G14, depth 1,70 m	42,63	24,083	14C	7840	60	Görsdorf 1996	--
1015	Bln-1580	7202	55	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. G14, depth 1,70 m	42,63	24,083	14C	8040	70	Görsdorf 1996	--
1016	Bln-1581	7000	60	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. G15, depth 1,70 m	42,63	24,083	14C	7830	80	Görsdorf 1996	--
1017	Bln-1582	7020	45	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu.F15, depth 1,70 m	42,63	24,083	14C	7860	60	Görsdorf 1996	--
1018	Bln-1583	7208	52	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. F16, depth 1,70 m	42,63	24,083	14C	8040	70	Görsdorf 1996	--
1019	Bln-1663	7070	50	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. G15, depth 1,70 m	42,63	24,083	14C	7900	50	Görsdorf 1996	--
1020	Bln-2107	6550	50	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. B13, depth 1,60 m	42,63	24,083	14C	7470	40	Görsdorf 1996	--
1021	Bln-2108	7195	65	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu.C15/C16, depth 1,50 m	42,63	24,083	14C	8040	70	Görsdorf 1996	--
1022	Bln-2662	6820	50	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.6	Qu. A15,depth 1,50 m	42,63	24,083	14C	7660	40	Görsdorf 1996	--
1023	Bln-4106	6840	50	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.5	Qu. O14, depth 1,85 m, inside house	42,63	24,083	14C	7680	50	Görsdorf 1996	--
1024	Bln-4261	7120	80	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.5	Qu. P14, depth 1,75 m	42,63	24,083	14C	7940	80	Görsdorf 1996	--
1025	Bln-906	6720	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.2	Qu. G11, depth 0,20 m	42,63	24,083	14C	7580	80	Görsdorf 1996	--
1026	Bln-907	6320	100	0	organic  	peas	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.3	Qu.F15, depth 0,60 m	42,63	24,083	14C	7230	130	Görsdorf 1996	--
1027	Bln-908	6990	150	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.3	Qu. I10, depth 0,75 m	42,63	24,083	14C	7820	130	Görsdorf 1996	--
1028	Bln-909	6815	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor..3	Qu. J11, depth 0,75 m	42,63	24,083	14C	7680	90	Görsdorf 1996	--
1029	Bln-910	6665	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor..3	Qu. J11, depth 0,75 m	42,63	24,083	14C	7540	80	Görsdorf 1996	--
1030	Bln-910A	6555	100	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor..3	Qu. J11, depth 0,75 m	42,63	24,083	14C	7450	90	Görsdorf 1996	--
1031	Bln-911	6870	120	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.3	Qu. K13, depth 0,80 m, house	42,63	24,083	14C	7730	110	Görsdorf 1996	--
1032	Bln-998	7045	120	0	charcoal	nd	Bulgaria	Cavdar	Neolithic	Early Neolithic	Hor.3	Qu. I10, depth 0,75 m	42,63	24,083	14C	7860	110	Görsdorf 1996	--
